n_estimators,primary,subobjective_1,b,mu,alpha
0,0.27376841173265143,0.6980756098609439,0.9,1000,0.0
1,0.2703082444889829,0.7055716414210291,0.9,1000,0.0
2,0.26725613721477537,0.7116305776606947,0.9,1000,0.0
3,0.26457050764540274,0.7191281118125341,0.9,1000,0.0
4,0.26233252212359626,0.7257619737796082,0.9,1000,0.0
5,0.2602849043025281,0.7334613888020701,0.9,1000,0.0
6,0.25838864199851813,0.7462072676529916,0.9,1000,0.0
7,0.25677528109563064,0.7538246383679652,0.9,1000,0.0
8,0.2552776847998103,0.7610892355051581,0.9,1000,0.0
9,0.2539852248158026,0.7691230739925788,0.9,1000,0.0
10,0.2527847459806588,0.7766268621811233,0.9,1000,0.0
11,0.25168318845533116,0.7887754090129981,0.9,1000,0.0
12,0.25061523376334455,0.7964329042571917,0.9,1000,0.0
13,0.2496965009519764,0.8041807335138957,0.9,1000,0.0
14,0.2488674375887355,0.812689522104633,0.9,1000,0.0
15,0.248252571534494,0.8148216807357865,0.9,1000,0.0
16,0.24737544103853898,0.8214839610859714,0.9,1000,0.0
17,0.24666388222375388,0.823745644011741,0.9,1000,0.0
18,0.24604574304320012,0.8299011416683286,0.9,1000,0.0
19,0.24545397445336942,0.8311546462579318,0.9,1000,0.0
20,0.24485203949641318,0.8387065795289266,0.9,1000,0.0
21,0.24416418420324143,0.8394832794376804,0.9,1000,0.0
22,0.24376716798979675,0.8416053826724675,0.9,1000,0.0
23,0.2431892398367936,0.8483689116108745,0.9,1000,0.0
24,0.2427174948835999,0.8496323690181152,0.9,1000,0.0
25,0.2423576059134331,0.8512227402520472,0.9,1000,0.0
26,0.24188849518768155,0.857905942601016,0.9,1000,0.0
27,0.2414647421333244,0.8627455682154973,0.9,1000,0.0
28,0.2410320362702768,0.8643738138490221,0.9,1000,0.0
29,0.24079366110215264,0.8650058281370145,0.9,1000,0.0
30,0.24048012875854383,0.8669737629560097,0.9,1000,0.0
31,0.24001369415455717,0.8731242637239743,0.9,1000,0.0
32,0.2399281248924294,0.8732977067621843,0.9,1000,0.0
33,0.2397309592104204,0.8734409735292562,0.9,1000,0.0
34,0.2396349080113947,0.8737676161223222,0.9,1000,0.0
35,0.23940751484419653,0.873756242796776,0.9,1000,0.0
36,0.239221093359644,0.8745594441261996,0.9,1000,0.0
37,0.23888130113679173,0.8759245731853159,0.9,1000,0.0
38,0.23860788893206467,0.8765615349074841,0.9,1000,0.0
39,0.23821767437231178,0.8831814640656948,0.9,1000,0.0
40,0.23808111849948116,0.8839226248188446,0.9,1000,0.0
41,0.23790655807358935,0.8844496167218516,0.9,1000,0.0
42,0.2378062716078641,0.8860682072494204,0.9,1000,0.0
43,0.2375514883942155,0.8874982580500281,0.9,1000,0.0
44,0.23747727828884155,0.8877874694455556,0.9,1000,0.0
45,0.2374146730791098,0.8880671382310451,0.9,1000,0.0
46,0.23718447316680782,0.888374276778542,0.9,1000,0.0
47,0.23706126552002255,0.888659211008883,0.9,1000,0.0
48,0.23671021588543473,0.8950216171928963,0.9,1000,0.0
49,0.2366434513951959,0.8949450663773569,0.9,1000,0.0
50,0.2362853113083363,0.899934702862011,0.9,1000,0.0
51,0.2361254693098974,0.9001890221725931,0.9,1000,0.18902217259308962
52,0.23703315841517228,0.8276612695171708,0.9,1000,0.0
53,0.23647463411146788,0.8373960460593514,0.9,1000,0.0
54,0.23586256772676698,0.8469887387225223,0.9,1000,0.0
55,0.23546470971006142,0.8556837357235318,0.9,1000,0.0
56,0.23508405554471823,0.8638939421833836,0.9,1000,0.0
57,0.23476229605775625,0.8712986204611329,0.9,1000,0.0
58,0.2345174689186172,0.8785859918199602,0.9,1000,0.0
59,0.2342872745066991,0.8850340732584875,0.9,1000,0.0
60,0.23398321694988847,0.8910359689204183,0.9,1000,0.0
61,0.23372299513746175,0.8967605291884879,0.9,1000,0.0
62,0.2336364848185611,0.898252500242416,0.9,1000,0.0
63,0.23351612359061674,0.8988863547196082,0.9,1000,0.0
64,0.23348362040204176,0.8992027453809542,0.9,1000,0.0
65,0.23329196761219229,0.8994946107727284,0.9,1000,0.0
66,0.23306827278298584,0.9002099427199127,0.9,1000,0.20994271991270352
67,0.23444952592461765,0.8208511515580931,0.9,1000,0.0
68,0.23392612749676883,0.8309632907433573,0.9,1000,0.0
69,0.2334640463502687,0.8408279190237573,0.9,1000,0.0
70,0.23304292431464627,0.8501793391040782,0.9,1000,0.0
71,0.23262634622222025,0.8587860045487771,0.9,1000,0.0
72,0.23223944678257363,0.8667738667959507,0.9,1000,0.0
73,0.23193272964406436,0.8742081342769792,0.9,1000,0.0
74,0.231685081151053,0.8814128176089682,0.9,1000,0.0
75,0.23152537968851136,0.8878776109756097,0.9,1000,0.0
76,0.23121625878191898,0.8945940955489384,0.9,1000,0.0
77,0.23104003977724455,0.9002946042823766,0.9,1000,0.2946042823765982
78,0.23313225102151075,0.7951984433597352,0.9,1000,0.0
79,0.2324602615486276,0.8107749780433934,0.9,1000,0.0
80,0.2318913578857604,0.826067070336116,0.9,1000,0.0
81,0.23137638413538555,0.8407911863643496,0.9,1000,0.0
82,0.23099918971884037,0.8550762936598519,0.9,1000,0.0
83,0.23066397311008768,0.8644932497591913,0.9,1000,0.0
84,0.23037268118375073,0.8733238556316391,0.9,1000,0.0
85,0.23003359748629806,0.8818553885387103,0.9,1000,0.0
86,0.22979194057148022,0.8894766048069068,0.9,1000,0.0
87,0.22952245573564403,0.8971380175508393,0.9,1000,0.0
88,0.22930473170080454,0.9036958487623683,0.9,1000,3.695848762368281
89,0.5695764544705525,0.3523860750944689,0.9,1000,0.0
90,0.257007099601312,0.49645324801371415,0.9,1000,0.0
91,0.25338205454451745,0.5165512243057807,0.9,1000,0.0
92,0.2502209095621049,0.5362383149781726,0.9,1000,0.0
93,0.24745464564152936,0.5553393911646598,0.9,1000,0.0
94,0.24497758810441458,0.5740223074257776,0.9,1000,0.0
95,0.24278221702605138,0.5923394311705494,0.9,1000,0.0
96,0.24090542322950576,0.6100769823289176,0.9,1000,0.0
97,0.23929519828796414,0.6274014889337489,0.9,1000,0.0
98,0.2378487527502484,0.6441642584778369,0.9,1000,0.0
99,0.23649021898968228,0.6604783423777794,0.9,1000,0.0
0,0.27376841173265143,0.6980756098609439,0.9,1000,0.0
1,0.2703082444889829,0.7055716414210291,0.9,1000,0.0
2,0.26725613721477537,0.7116305776606947,0.9,1000,0.0
3,0.26457050764540274,0.7191281118125341,0.9,1000,0.0
4,0.26233252212359626,0.7257619737796082,0.9,1000,0.0
5,0.2602849043025281,0.7334613888020701,0.9,1000,0.0
6,0.25838864199851813,0.7462072676529916,0.9,1000,0.0
7,0.25677528109563064,0.7538246383679652,0.9,1000,0.0
8,0.2552776847998103,0.7610892355051581,0.9,1000,0.0
9,0.2539852248158026,0.7691230739925788,0.9,1000,0.0
10,0.2527847459806588,0.7766268621811233,0.9,1000,0.0
11,0.25168318845533116,0.7887754090129981,0.9,1000,0.0
12,0.25061523376334455,0.7964329042571917,0.9,1000,0.0
13,0.2496965009519764,0.8041807335138957,0.9,1000,0.0
14,0.2488674375887355,0.812689522104633,0.9,1000,0.0
15,0.248252571534494,0.8148216807357865,0.9,1000,0.0
16,0.24737544103853898,0.8214839610859714,0.9,1000,0.0
17,0.24666388222375388,0.823745644011741,0.9,1000,0.0
18,0.24604574304320012,0.8299011416683286,0.9,1000,0.0
19,0.24545397445336942,0.8311546462579318,0.9,1000,0.0
20,0.24485203949641318,0.8387065795289266,0.9,1000,0.0
21,0.24416418420324143,0.8394832794376804,0.9,1000,0.0
22,0.24376716798979675,0.8416053826724675,0.9,1000,0.0
23,0.2431892398367936,0.8483689116108745,0.9,1000,0.0
24,0.2427174948835999,0.8496323690181152,0.9,1000,0.0
25,0.2423576059134331,0.8512227402520472,0.9,1000,0.0
26,0.24188849518768155,0.857905942601016,0.9,1000,0.0
27,0.2414647421333244,0.8627455682154973,0.9,1000,0.0
28,0.2410320362702768,0.8643738138490221,0.9,1000,0.0
29,0.24079366110215264,0.8650058281370145,0.9,1000,0.0
30,0.24048012875854383,0.8669737629560097,0.9,1000,0.0
31,0.24001369415455717,0.8731242637239743,0.9,1000,0.0
32,0.2399281248924294,0.8732977067621843,0.9,1000,0.0
33,0.2397309592104204,0.8734409735292562,0.9,1000,0.0
34,0.2396349080113947,0.8737676161223222,0.9,1000,0.0
35,0.23940751484419653,0.873756242796776,0.9,1000,0.0
36,0.239221093359644,0.8745594441261996,0.9,1000,0.0
37,0.23888130113679173,0.8759245731853159,0.9,1000,0.0
38,0.23860788893206467,0.8765615349074841,0.9,1000,0.0
39,0.23821767437231178,0.8831814640656948,0.9,1000,0.0
40,0.23808111849948116,0.8839226248188446,0.9,1000,0.0
41,0.23790655807358935,0.8844496167218516,0.9,1000,0.0
42,0.2378062716078641,0.8860682072494204,0.9,1000,0.0
43,0.2375514883942155,0.8874982580500281,0.9,1000,0.0
44,0.23747727828884155,0.8877874694455556,0.9,1000,0.0
45,0.2374146730791098,0.8880671382310451,0.9,1000,0.0
46,0.23718447316680782,0.888374276778542,0.9,1000,0.0
47,0.23706126552002255,0.888659211008883,0.9,1000,0.0
48,0.23671021588543473,0.8950216171928963,0.9,1000,0.0
49,0.2366434513951959,0.8949450663773569,0.9,1000,0.0
50,0.2362853113083363,0.899934702862011,0.9,1000,0.0
51,0.2361254693098974,0.9001890221725931,0.9,1000,0.18902217259308962
52,0.23703315841517228,0.8276612695171708,0.9,1000,0.0
53,0.23647463411146788,0.8373960460593514,0.9,1000,0.0
54,0.23586256772676698,0.8469887387225223,0.9,1000,0.0
55,0.23546470971006142,0.8556837357235318,0.9,1000,0.0
56,0.23508405554471823,0.8638939421833836,0.9,1000,0.0
57,0.23476229605775625,0.8712986204611329,0.9,1000,0.0
58,0.2345174689186172,0.8785859918199602,0.9,1000,0.0
59,0.2342872745066991,0.8850340732584875,0.9,1000,0.0
60,0.23398321694988847,0.8910359689204183,0.9,1000,0.0
61,0.23372299513746175,0.8967605291884879,0.9,1000,0.0
62,0.2336364848185611,0.898252500242416,0.9,1000,0.0
63,0.23351612359061674,0.8988863547196082,0.9,1000,0.0
64,0.23348362040204176,0.8992027453809542,0.9,1000,0.0
65,0.23329196761219229,0.8994946107727284,0.9,1000,0.0
66,0.23306827278298584,0.9002099427199127,0.9,1000,0.20994271991270352
67,0.23444952592461765,0.8208511515580931,0.9,1000,0.0
68,0.23392612749676883,0.8309632907433573,0.9,1000,0.0
69,0.2334640463502687,0.8408279190237573,0.9,1000,0.0
70,0.23304292431464627,0.8501793391040782,0.9,1000,0.0
71,0.23262634622222025,0.8587860045487771,0.9,1000,0.0
72,0.23223944678257363,0.8667738667959507,0.9,1000,0.0
73,0.23193272964406436,0.8742081342769792,0.9,1000,0.0
74,0.231685081151053,0.8814128176089682,0.9,1000,0.0
75,0.23152537968851136,0.8878776109756097,0.9,1000,0.0
76,0.23121625878191898,0.8945940955489384,0.9,1000,0.0
77,0.23104003977724455,0.9002946042823766,0.9,1000,0.2946042823765982
78,0.23313225102151075,0.7951984433597352,0.9,1000,0.0
79,0.2324602615486276,0.8107749780433934,0.9,1000,0.0
80,0.2318913578857604,0.826067070336116,0.9,1000,0.0
81,0.23137638413538555,0.8407911863643496,0.9,1000,0.0
82,0.23099918971884037,0.8550762936598519,0.9,1000,0.0
83,0.23066397311008768,0.8644932497591913,0.9,1000,0.0
84,0.23037268118375073,0.8733238556316391,0.9,1000,0.0
85,0.23003359748629806,0.8818553885387103,0.9,1000,0.0
86,0.22979194057148022,0.8894766048069068,0.9,1000,0.0
87,0.22952245573564403,0.8971380175508393,0.9,1000,0.0
88,0.22930473170080454,0.9036958487623683,0.9,1000,3.695848762368281
89,0.5695764544705525,0.3523860750944689,0.9,1000,0.0
90,0.257007099601312,0.49645324801371415,0.9,1000,0.0
91,0.25338205454451745,0.5165512243057807,0.9,1000,0.0
92,0.2502209095621049,0.5362383149781726,0.9,1000,0.0
93,0.24745464564152936,0.5553393911646598,0.9,1000,0.0
94,0.24497758810441458,0.5740223074257776,0.9,1000,0.0
95,0.24278221702605138,0.5923394311705494,0.9,1000,0.0
96,0.24090542322950576,0.6100769823289176,0.9,1000,0.0
97,0.23929519828796414,0.6274014889337489,0.9,1000,0.0
98,0.2378487527502484,0.6441642584778369,0.9,1000,0.0
99,0.23649021898968228,0.6604783423777794,0.9,1000,0.0
0,0.27376841173265143,0.6980756098609439,0.9,100,0.0
1,0.2703082444889829,0.7055716414210291,0.9,100,0.0
2,0.26725613721477537,0.7116305776606947,0.9,100,0.0
3,0.26457050764540274,0.7191281118125341,0.9,100,0.0
4,0.26233252212359626,0.7257619737796082,0.9,100,0.0
5,0.2602849043025281,0.7334613888020701,0.9,100,0.0
6,0.25838864199851813,0.7462072676529916,0.9,100,0.0
7,0.25677528109563064,0.7538246383679652,0.9,100,0.0
8,0.2552776847998103,0.7610892355051581,0.9,100,0.0
9,0.2539852248158026,0.7691230739925788,0.9,100,0.0
10,0.2527847459806588,0.7766268621811233,0.9,100,0.0
11,0.25168318845533116,0.7887754090129981,0.9,100,0.0
12,0.25061523376334455,0.7964329042571917,0.9,100,0.0
13,0.2496965009519764,0.8041807335138957,0.9,100,0.0
14,0.2488674375887355,0.812689522104633,0.9,100,0.0
15,0.248252571534494,0.8148216807357865,0.9,100,0.0
16,0.24737544103853898,0.8214839610859714,0.9,100,0.0
17,0.24666388222375388,0.823745644011741,0.9,100,0.0
18,0.24604574304320012,0.8299011416683286,0.9,100,0.0
19,0.24545397445336942,0.8311546462579318,0.9,100,0.0
20,0.24485203949641318,0.8387065795289266,0.9,100,0.0
21,0.24416418420324143,0.8394832794376804,0.9,100,0.0
22,0.24376716798979675,0.8416053826724675,0.9,100,0.0
23,0.2431892398367936,0.8483689116108745,0.9,100,0.0
24,0.2427174948835999,0.8496323690181152,0.9,100,0.0
25,0.2423576059134331,0.8512227402520472,0.9,100,0.0
26,0.24188849518768155,0.857905942601016,0.9,100,0.0
27,0.2414647421333244,0.8627455682154973,0.9,100,0.0
28,0.2410320362702768,0.8643738138490221,0.9,100,0.0
29,0.24079366110215264,0.8650058281370145,0.9,100,0.0
30,0.24048012875854383,0.8669737629560097,0.9,100,0.0
31,0.24001369415455717,0.8731242637239743,0.9,100,0.0
32,0.2399281248924294,0.8732977067621843,0.9,100,0.0
33,0.2397309592104204,0.8734409735292562,0.9,100,0.0
34,0.2396349080113947,0.8737676161223222,0.9,100,0.0
35,0.23940751484419653,0.873756242796776,0.9,100,0.0
36,0.239221093359644,0.8745594441261996,0.9,100,0.0
37,0.23888130113679173,0.8759245731853159,0.9,100,0.0
38,0.23860788893206467,0.8765615349074841,0.9,100,0.0
39,0.23821767437231178,0.8831814640656948,0.9,100,0.0
40,0.23808111849948116,0.8839226248188446,0.9,100,0.0
41,0.23790655807358935,0.8844496167218516,0.9,100,0.0
42,0.2378062716078641,0.8860682072494204,0.9,100,0.0
43,0.2375514883942155,0.8874982580500281,0.9,100,0.0
44,0.23747727828884155,0.8877874694455556,0.9,100,0.0
45,0.2374146730791098,0.8880671382310451,0.9,100,0.0
46,0.23718447316680782,0.888374276778542,0.9,100,0.0
47,0.23706126552002255,0.888659211008883,0.9,100,0.0
48,0.23671021588543473,0.8950216171928963,0.9,100,0.0
49,0.2366434513951959,0.8949450663773569,0.9,100,0.0
50,0.2362853113083363,0.899934702862011,0.9,100,0.0
51,0.2361254693098974,0.9001890221725931,0.9,100,0.018902217259308962
52,0.23579593847854552,0.8999669422957252,0.9,100,0.0
53,0.2357506693425353,0.9001251116709228,0.9,100,0.012511167092277287
54,0.23547937236782437,0.8996748000356946,0.9,100,0.0
55,0.23529113840346474,0.9007351033843695,0.9,100,0.07351033843694399
56,0.23528639174601326,0.8717262417187694,0.9,100,0.0
57,0.2348626873403648,0.8783250979162015,0.9,100,0.0
58,0.2343684982730457,0.8850855410331261,0.9,100,0.0
59,0.2341446875613765,0.8910461022474954,0.9,100,0.0
60,0.23386558603270177,0.896839609130072,0.9,100,0.0
61,0.23381806436982225,0.8972103413343767,0.9,100,0.0
62,0.23358858763954043,0.8988073295818754,0.9,100,0.0
63,0.23322655203093065,0.8994627657029868,0.9,100,0.0
64,0.23295961338240487,0.9002145455767787,0.9,100,0.02145455767786908
65,0.2326495296121666,0.8994206208360408,0.9,100,0.0
66,0.2325716807320244,0.8998355665340215,0.9,100,0.0
67,0.2323949117382855,0.900798687608682,0.9,100,0.07986876086819583
68,0.23250694045825757,0.8702950719095978,0.9,100,0.0
69,0.2322046163225692,0.8775992890340816,0.9,100,0.0
70,0.2319547614082319,0.8844763472435404,0.9,100,0.0
71,0.23176923290835708,0.8906813410341408,0.9,100,0.0
72,0.2315117809812478,0.8969221994751465,0.9,100,0.0
73,0.23119599249894035,0.9026138232041229,0.9,100,0.2613823204122845
74,0.23298747204868658,0.8073385152627738,0.9,100,0.0
75,0.23230104297360468,0.8185605244429696,0.9,100,0.0
76,0.23172472031032376,0.829356763845906,0.9,100,0.0
77,0.23130409614951913,0.839481965170804,0.9,100,0.0
78,0.23088506359523173,0.8487432424532626,0.9,100,0.0
79,0.23062221766790067,0.8576522158434712,0.9,100,0.0
80,0.23032584208109105,0.8659889584614443,0.9,100,0.0
81,0.2299757608468378,0.8738973223997607,0.9,100,0.0
82,0.2296276150275422,0.8812706389862814,0.9,100,0.0
83,0.22938466366179328,0.887990401211698,0.9,100,0.0
84,0.2292131126907508,0.8941517416683892,0.9,100,0.0
85,0.22893343686146267,0.9003510535170897,0.9,100,0.035105351708963894
86,0.22886002867168742,0.8894587825456752,0.9,100,0.0
87,0.2285760641074467,0.895788552418048,0.9,100,0.0
88,0.2283328685661175,0.9019521574288624,0.9,100,0.19521574288623444
89,0.2295357098728924,0.8280374132055265,0.9,100,0.0
90,0.2290732343442473,0.8424352431294642,0.9,100,0.0
91,0.22875457536691654,0.8522201523033591,0.9,100,0.0
92,0.22842819876650422,0.8617085396522399,0.9,100,0.0
93,0.2281835486270878,0.8702012274431821,0.9,100,0.0
94,0.2279495604492508,0.8784852872777053,0.9,100,0.0
95,0.22773295881728461,0.8860198224830903,0.9,100,0.0
96,0.2273385740827416,0.8932567526029221,0.9,100,0.0
97,0.22720141838479424,0.8996016452412684,0.9,100,0.0
98,0.22708879110220714,0.9056059236123905,0.9,100,0.5605923612390429
99,0.252459133133828,0.5605240761292687,0.9,100,0.0
0,0.27376841173265143,0.6980756098609439,0.9,10,0.0
1,0.2703082444889829,0.7055716414210291,0.9,10,0.0
2,0.26725613721477537,0.7116305776606947,0.9,10,0.0
3,0.26457050764540274,0.7191281118125341,0.9,10,0.0
4,0.26233252212359626,0.7257619737796082,0.9,10,0.0
5,0.2602849043025281,0.7334613888020701,0.9,10,0.0
